date,group,home_team,away_team,home_win_prob,draw_prob,away_win_prob,home_expected_points,away_expected_points,home_team_strength_score,away_team_strength_score
2026-06-11,A,Mexico,South Africa,0.36399187657781235,0.4280274758485863,0.20798064757360143,1.5200031055820233,1.0519694185693906,0.5614579323332082,0.3573638317282317
2026-06-11,A,South Korea,Czech Republic,0.4085944055115203,0.40118119129319296,0.19022440319528666,1.6269644078277539,0.971854400879053,0.5138750349747113,0.4584908348954477
2026-06-12,B,Canada,Bosnia and Herzegovina,0.7127200046370276,0.15558298133973922,0.1316970140232333,2.2937429952508217,0.5506740234094392,0.4248915821507346,0.0784197928989492
2026-06-12,D,United States,Paraguay,0.5311362002582516,0.28956959108830976,0.17929420865343867,1.8829781918630646,0.8274522170486258,0.4406243102970717,0.2973690930516316
2026-06-13,B,Qatar,Switzerland,0.15692039189507526,0.21968834101215068,0.6233912670927741,0.6904495166973765,2.0898621422904733,0.1574691975373932,0.4881372206570251
2026-06-13,C,Brazil,Morocco,0.19213034312194688,0.062218360130457916,0.7456512967475952,0.6386093894962985,2.299172250373244,0.5960632246620465,0.8349655966337283
2026-06-13,C,Haiti,Scotland,0.12007462147582011,0.14866154000436907,0.7312638385198108,0.5088854044318294,2.3424530555638015,0.4184267869814313,0.3384078630383588
2026-06-13,D,Australia,Turkey,0.3982745209477956,0.15869869155378646,0.4430267874984179,1.3535222543971732,1.48777905404904,0.5620707888625989,0.5869935262139473
2026-06-14,E,Germany,Curaçao,0.8351674909032228,0.08655690627663955,0.07827560282013751,2.592059378986308,0.3213837147370521,0.6525710647047879,0.2127760640320095
2026-06-14,E,Ivory Coast,Ecuador,0.46798836802856897,0.32558003861000195,0.20643159336142908,1.729545142695709,0.9448748186942891,0.5942729827967661,0.4966674425262318
2026-06-14,F,Netherlands,Japan,0.1672652566408638,0.23991213619277216,0.592822607166364,0.7417079061153636,2.0183799576918644,0.7067250312677814,0.825074194658365
2026-06-14,F,Sweden,Tunisia,0.3599453228641643,0.150291013026268,0.4897636641095678,1.230126981618761,1.6195820053549714,0.4566307354970666,0.4477995253179024
2026-06-15,G,Belgium,Egypt,0.6333106226009952,0.20662168884324542,0.16006768855575929,2.1065535566462312,0.6868247545105233,0.632153241628776,0.5155405817207458
2026-06-15,G,Iran,New Zealand,0.7539114738680782,0.14000709431464226,0.10608143181727948,2.401741515918877,0.4582513897664807,0.688979324954072,0.337021505568485
2026-06-15,H,Spain,Cape Verde,0.8100134085984769,0.13495911412415817,0.05502747727736486,2.5649993399195887,0.30004154595625276,0.9357067221490608,0.3058184917481409
2026-06-15,H,Saudi Arabia,Uruguay,0.09193559725199484,0.13662487864250947,0.7714395241054958,0.41243167039849393,2.4509434509589965,0.2302976755509435,0.4803671335064648
2026-06-16,I,France,Senegal,0.7564387597651433,0.14607569393267406,0.09748554630218267,2.415391973228104,0.4385323328392221,0.8782912906235095,0.744646335492516
2026-06-16,I,Iraq,Norway,0.26269260179807863,0.46723374356976644,0.27007365463215505,1.2553115489640023,1.2774547074662315,0.4940617992903096,0.6946316773151914
2026-06-16,J,Argentina,Algeria,0.684094548864606,0.1866000554145206,0.12930539572087343,2.238883702008338,0.574516242577141,0.9313672874388192,0.7450806455928971
2026-06-16,J,Austria,Jordan,0.6667942311571424,0.22091626130561043,0.11228950753724706,2.2212989547770374,0.5577847839173515,0.6833071083503569,0.3576805575937127
2026-06-17,K,Portugal,DR Congo,0.6416138056154888,0.2854798987310637,0.07290629565344754,2.21032131557753,0.5041987856914063,0.7791416635557997,0.4856251934471838
2026-06-17,K,Uzbekistan,Colombia,0.11033077905525523,0.5306016458939748,0.3590675750507699,0.8615939830597406,1.6078043710462846,0.5727533153075292,0.6169151410317696
2026-06-17,L,England,Croatia,0.236710027662736,0.35910466766528276,0.40418530467198127,1.0692347506534907,1.5716605816812266,0.8135143168320829,0.6295174128447968
2026-06-17,L,Ghana,Panama,0.1490516207951352,0.09334659281588592,0.757601786388979,0.5405014552012914,2.366151951982823,0.1705794644521335,0.4312762296010783
2026-06-18,A,Czech Republic,South Africa,0.3297691224693077,0.4296516381312955,0.24057923939939693,1.4189590055392185,1.1513893563294864,0.4584908348954477,0.3573638317282317
2026-06-18,A,Mexico,South Korea,0.246934256997278,0.4368341616223452,0.3162315813803769,1.1776369326141791,1.3855289057634759,0.5614579323332082,0.5138750349747113
2026-06-18,B,Switzerland,Bosnia and Herzegovina,0.7949951656647928,0.11426668385786365,0.09073815047734358,2.499252180852242,0.3864811352898944,0.4881372206570251,0.0784197928989492
2026-06-18,B,Canada,Qatar,0.6634451507129957,0.18363943976345462,0.15291540952354965,2.1739748919024415,0.6423856683341036,0.4248915821507346,0.1574691975373932
2026-06-19,C,Scotland,Morocco,0.39755465413393953,0.08779314153969695,0.5146522043263636,1.2804571039415156,1.6317497545187876,0.3384078630383588,0.8349655966337283
2026-06-19,C,Brazil,Haiti,0.7550270372964986,0.1357871447884458,0.10918581791505569,2.4008682566779416,0.4633445985336129,0.5960632246620465,0.4184267869814313
2026-06-19,D,United States,Australia,0.11161367572465891,0.24080940907809745,0.6475769151972436,0.5756504362520742,2.183540154669828,0.4406243102970717,0.5620707888625989
2026-06-19,D,Turkey,Paraguay,0.4570684571747274,0.25197304522187697,0.2909584976033957,1.623178416746059,1.124848538032064,0.5869935262139473,0.2973690930516316
2026-06-20,E,Germany,Ivory Coast,0.43737283398171445,0.15527799807006637,0.4073491679482191,1.4673965000152096,1.377325501914724,0.6525710647047879,0.5942729827967661
2026-06-20,E,Ecuador,Curaçao,0.5356673504788392,0.3730187320729074,0.0913139174482534,1.980020783509425,0.6469604844176676,0.4966674425262318,0.2127760640320095
2026-06-20,F,Netherlands,Sweden,0.8177985660575433,0.11737653999201247,0.06482489395044434,2.5707722381646425,0.3118512218433455,0.7067250312677814,0.4566307354970666
2026-06-20,F,Tunisia,Japan,0.4650687216839093,0.09194660927932226,0.4429846690367685,1.48715277433105,1.4209006163896276,0.4477995253179024,0.825074194658365
2026-06-21,G,Belgium,Iran,0.4008420785668764,0.15621052073311348,0.44294740070001015,1.3587367564337427,1.4850527228331438,0.632153241628776,0.688979324954072
2026-06-21,G,New Zealand,Egypt,0.32582811406886175,0.4440874501972297,0.23008443573390852,1.4215717924038151,1.1343407573989555,0.337021505568485,0.5155405817207458
2026-06-21,H,Spain,Saudi Arabia,0.5374467725917291,0.24375353487035512,0.2187996925379157,1.8560938526455426,0.9001526124841023,0.9357067221490608,0.2302976755509435
2026-06-21,H,Uruguay,Cape Verde,0.7092167403654581,0.2156342171677628,0.07514904246677907,2.343284438264137,0.4410813445681,0.4803671335064648,0.3058184917481409
2026-06-22,I,France,Iraq,0.7954704969860689,0.14314769336353844,0.06138180965039262,2.529559184321745,0.3272931223147163,0.8782912906235095,0.4940617992903096
2026-06-22,I,Norway,Senegal,0.19409763799399185,0.24919041244966075,0.5567119495563475,0.8314833264316364,1.9193262611187032,0.6946316773151914,0.744646335492516
2026-06-22,J,Argentina,Austria,0.7220604714485314,0.15558984940119316,0.1223496791502755,2.3217712637467876,0.5226388868520196,0.9313672874388192,0.6833071083503569
2026-06-22,J,Jordan,Algeria,0.4771193815792229,0.1099211096898731,0.412959508730904,1.5412792544275418,1.3487996358825851,0.3576805575937127,0.7450806455928971
2026-06-23,K,Portugal,Uzbekistan,0.5743945815053023,0.3287303982026792,0.0968750202920186,2.051914142718586,0.6193554590787349,0.7791416635557997,0.5727533153075292
2026-06-23,K,Colombia,DR Congo,0.32383851263872,0.5893026831288374,0.08685880423244255,1.5608182210449972,0.849879095826165,0.6169151410317696,0.4856251934471838
2026-06-23,L,England,Ghana,0.7676427516747152,0.13318339653956815,0.09917385178571672,2.4361116515637136,0.4307049518967183,0.8135143168320829,0.1705794644521335
2026-06-23,L,Panama,Croatia,0.20627913020512412,0.1762327394758026,0.6174881303190733,0.7950701300911749,2.028697130433023,0.4312762296010783,0.6295174128447968
2026-06-24,A,Mexico,Czech Republic,0.5324460465590953,0.26908402145740856,0.1984699319834962,1.8664221611346945,0.8644938174078971,0.5614579323332082,0.4584908348954477
2026-06-24,A,South Africa,South Korea,0.11669621645762887,0.6538300228341972,0.22947376070817394,1.0039186722070839,1.342251304958719,0.3573638317282317,0.5138750349747113
2026-06-24,B,Canada,Switzerland,0.12644589387919627,0.5488598587920417,0.32469424732876206,0.9281975404296305,1.522942600778328,0.4248915821507346,0.4881372206570251
2026-06-24,B,Bosnia and Herzegovina,Qatar,0.35846345216959563,0.18605760233882407,0.4554789454915803,1.261447958847611,1.5524944388135649,0.0784197928989492,0.1574691975373932
2026-06-24,C,Scotland,Brazil,0.17831758920221935,0.258042178457534,0.5636402323402465,0.7929949460641921,1.9489628754782735,0.3384078630383588,0.5960632246620465
2026-06-24,C,Morocco,Haiti,0.6931813919537206,0.16309047304698013,0.14372813499929926,2.242634648908142,0.5942748780448779,0.8349655966337283,0.4184267869814313
2026-06-25,D,United States,Turkey,0.09401949993888489,0.08969345856726564,0.8162870414938495,0.3717519583839203,2.538554583048814,0.4406243102970717,0.5869935262139473
2026-06-25,D,Paraguay,Australia,0.12734982817016988,0.254181889604478,0.6184682822253521,0.6362313741149876,2.1095867362805345,0.2973690930516316,0.5620707888625989
