feature,rf_importance
away_weighted_form,0.020182111893430044
away_goal_difference,0.019860954847032167
away_weighted_recent_points,0.019842567573155386
home_points_per_match,0.019595516577518478
away_goals_for,0.01850832311130588
away_fifa_adjusted_form,0.01723589932181576
home_unbeaten_rate,0.017178695592396234
away_goal_difference_per_match,0.016716298055251648
home_win_rate,0.016120145289978013
home_loss_rate,0.016033706533472556
away_team_strength_score,0.015599786994046898
away_form20,0.014949569288400723
away_avg_goal_margin,0.014825257231924415
away_points_per_match,0.014696101049505467
away_draw_rate,0.013468433871311313
away_loss_rate,0.013371976982790187
away_failed_to_score_pct,0.013319532693159226
away_win_rate,0.01311468490340142
away_elo_adjusted_form,0.012538146022057172
home_avg_goal_margin,0.012491412091326858
away_unbeaten_rate,0.012341866809336506
home_goal_difference_per_match,0.012181241033828094
home_clean_sheet_pct,0.012080052658130792
home_team_strength_score,0.012066110286262699
away_goals_per_match,0.0120555454998055
home_draw_rate,0.011690717672233713
home_goals_against_per_match,0.01152165351406939
home_goals_against,0.011389566903873093
away_goals_against_per_match,0.01075481030328659
home_losses,0.010151731941579907
fifa_sum_difference,0.010074254759972251
home_neutral_points_per_match,0.00972392775617325
away_goal_diff_20,0.009412350643347072
away_neutral_matches,0.009265802328352186
clean_sheet_difference,0.009136526517855518
fifa_sum_ratio,0.009081363082329963
elo_difference,0.009047726218676139
elo_ratio,0.008986950322619097
away_clean_sheet_pct,0.008965326904472746
away_fifa_sum_rank,0.00892088152805649
away_attack_20,0.00862531299708314
home_fifa_sum_rating,0.0086121890263675
away_wins,0.008594363313630012
away_fifa_sum_rating,0.008497510709042682
away_attack_10,0.008482056437031366
home_neutral_win_rate,0.00839620137552865
away_elo_rating,0.008367645309521953
weighted_form_difference,0.00833175772926485
home_weighted_recent_points,0.008140022296447775
home_draws,0.008125143231218334
home_elo_adjusted_form,0.008078603748801831
home_goals_for,0.00800573760741039
away_goals_against,0.0077090766070857224
team_strength_difference,0.00767850324736217
away_goal_diff_10,0.007620706716197335
home_goal_difference,0.0076045513098765664
home_elo_rank,0.007596977181074511
home_goals_per_match,0.0075699392046047805
defense_difference,0.007519267745283199
away_elo_rank,0.007500156796263775
home_weighted_form,0.007488514791545587
home_recent_goal_trend,0.007486848032176951
recent_points_difference,0.0074221110364094635
home_goal_diff_20,0.007418707296428885
home_team_encoded,0.007403769940251465
home_failed_to_score_pct,0.007371784989618906
away_neutral_points_per_match,0.007291250343527333
home_neutral_matches,0.007115859931332609
away_attack_defense_balance,0.00709105350104321
home_elo_rating,0.007080362336874941
home_fifa_sum_rank,0.007063602169034085
away_draws,0.0070634046205592296
away_attack_5,0.007039236150184509
away_team_encoded,0.006975000989261605
home_group_encoded,0.0068008518439568455
failed_to_score_difference,0.006777744322591374
neutral_win_rate_difference,0.006700090099305263
goal_difference_pm_diff,0.006685308489058839
home_defense_20,0.006641425977101894
win_rate_difference,0.0064320067003651475
home_matches_played,0.006281650075364838
away_neutral_win_rate,0.0062613557486615465
points_per_match_difference,0.006207020620987574
attack_difference,0.006194149754644816
away_matches_played,0.006129361870495747
away_losses,0.006101018829237674
away_form10,0.006019043639784916
home_fifa_adjusted_form,0.0059894599207319784
home_attack_10,0.005964634203999361
home_attack_defense_balance,0.005947577003331537
away_defense_20,0.005875352549999793
home_defense_10,0.005837704832141375
home_goal_diff_10,0.005739512315306034
home_form20,0.005675205086237415
away_expected_goal_edge,0.005566113809460581
home_wins,0.005539984327759275
home_form10,0.005441486617135747
away_group_encoded,0.005414951952611172
home_attack_20,0.0053458542159090265
expected_goal_edge_difference,0.005279860887640755
away_form5,0.005249238798321424
away_recent_goal_trend,0.005195886222283545
form20_difference,0.005180911120258928
home_form5,0.00509609050353374
form5_difference,0.0047860957100127185
away_defense_5,0.004726590611044385
home_attack_5,0.004673013753298397
away_defense_10,0.004627854512468095
form10_difference,0.004567567484118858
home_expected_goal_edge,0.004236574811829654
home_defense_5,0.003946695454123612
