feature,rf_importance
home_win_rate,0.019139949934356536
away_goal_difference,0.018055059425857823
home_points_per_match,0.017720697438973875
away_goals_for,0.016418080653843523
home_unbeaten_rate,0.016157811290611175
away_goal_difference_per_match,0.016017615478730082
home_loss_rate,0.015345942382013705
away_team_strength_score,0.014852794380612091
away_failed_to_score_pct,0.014597009441491665
away_form20,0.014438700632498129
away_avg_goal_margin,0.013981523354874655
away_points_per_match,0.013198929701851938
home_avg_goal_margin,0.013174794100310411
away_unbeaten_rate,0.012845886589341961
away_win_rate,0.01275715796884689
home_goal_difference_per_match,0.012701370755043432
away_draw_rate,0.012547944437649361
home_goals_against_per_match,0.012360801689121204
away_loss_rate,0.012187843372426233
away_weighted_form,0.011985411068307462
home_goals_against,0.011712783277361586
away_goals_against_per_match,0.011588108697054435
fifa_sum_ratio,0.011391794105575668
away_goals_per_match,0.011255640921404828
elo_ratio,0.011075340899206792
home_clean_sheet_pct,0.011059578252796663
elo_difference,0.011052296923596806
fifa_sum_difference,0.011046675533459933
home_draw_rate,0.010965360632320004
away_fifa_sum_rating,0.010739018637407451
away_fifa_adjusted_form,0.010615966230790025
away_wins,0.010451595266456037
away_weighted_recent_points,0.010368380008829546
team_strength_difference,0.010210819816490696
away_fifa_sum_rank,0.010098537049513629
home_neutral_points_per_match,0.009969673373123024
home_fifa_sum_rank,0.00980532618243672
home_draws,0.009721404353020118
home_team_strength_score,0.009533254866026077
away_elo_adjusted_form,0.00934962168753119
recent_points_difference,0.009330935290150652
home_fifa_sum_rating,0.009189794896677369
home_neutral_win_rate,0.009081907379774932
home_losses,0.009070347505085563
away_attack_10,0.00902205939130271
away_goal_diff_20,0.008917208029728858
away_goals_against,0.008835545639190262
home_goal_difference,0.00882819476064839
home_team_encoded,0.008624089319551493
away_attack_defense_balance,0.00852904104799225
home_elo_rating,0.008349427372862149
home_fifa_adjusted_form,0.008312167426060606
clean_sheet_difference,0.008282649097756238
away_neutral_points_per_match,0.008176154036845113
home_goals_for,0.00814076676956982
home_elo_adjusted_form,0.007960597923323142
home_goals_per_match,0.007928509014344503
home_weighted_recent_points,0.007833761260602489
neutral_win_rate_difference,0.00773543357846756
away_neutral_win_rate,0.007642993241995876
home_recent_goal_trend,0.007613324698191979
away_goal_diff_10,0.007605954448232889
away_clean_sheet_pct,0.007500755338752624
away_neutral_matches,0.007488757726647904
goal_difference_pm_diff,0.007357704501055928
weighted_form_difference,0.007302503786038808
defense_difference,0.0072300221971159755
home_failed_to_score_pct,0.007211209689237352
away_losses,0.007159597073621588
away_recent_goal_trend,0.007116902890357868
home_elo_rank,0.00708907489398283
away_form5,0.007067364764660656
home_neutral_matches,0.007021160400865861
away_draws,0.007000330287329788
failed_to_score_difference,0.006987998046432812
away_defense_20,0.006963722629559497
home_group_encoded,0.006953148085071314
expected_goal_edge_difference,0.006917500688633626
away_matches_played,0.006907443457836417
win_rate_difference,0.006866346624396781
away_team_encoded,0.006836626610824723
away_attack_20,0.006833347166081837
home_attack_10,0.006806214988561647
home_wins,0.006734840938938878
home_goal_diff_20,0.0067074784454571575
attack_difference,0.006632195535966654
points_per_match_difference,0.006413890057898625
away_elo_rating,0.006339338045115741
away_elo_rank,0.006302857111150842
home_defense_10,0.006293624487645102
home_goal_diff_10,0.006202344288186771
away_defense_5,0.006165900462346318
home_matches_played,0.006150462146727507
away_expected_goal_edge,0.006018867272519679
home_attack_defense_balance,0.005986760223859065
away_form10,0.005892059769866201
home_expected_goal_edge,0.005849881782485784
away_defense_10,0.0058408688255732425
home_attack_20,0.005828913543906356
home_weighted_form,0.005779606463580298
away_attack_5,0.005779268169206314
form20_difference,0.005731026957449741
home_attack_5,0.005708423278735616
home_form20,0.005665546515401897
home_form10,0.005657006046902203
home_defense_20,0.005606391601662564
away_group_encoded,0.005167688579453804
form5_difference,0.005030842408067115
home_defense_5,0.005008257662657764
form10_difference,0.004890896785005527
home_form5,0.004489667807649164
